Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.1,0.1,0.0,0.0,0.2

0.0,11.9,-0.3,15.1,26.8

54.5,22.9,55.2,24.8,157.4

37.8,32.1,42.4,31.7,144.0

35.9,34.7,41.6,33.5,145.7

35.2,33.7,39.5,33.2,141.6

34.5,34.3,39.0,33.1,140.9

34.9,35.0,39.4,34.5,143.8

36.2,39.3,40.1,37.4,153.0

35.1,40.8,39.4,37.6,152.9

34.8,40.9,38.9,37.8,152.5

38.5,33.6,49.1,28.4,149.5

14.8,70.3,10.0,62.3,157.5

-0.1,0.7,0.2,0.2,1.1

0.2,0.0,0.1,0.0,0.3
