Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,-0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.1,-0.0,0.3,0.4

-0.1,20.2,1.1,37.4,58.7

43.1,40.1,49.7,36.8,169.7

48.2,32.5,54.6,28.7,163.9

40.8,45.7,35.3,52.7,174.4

16.8,68.5,14.9,72.9,173.1

20.7,57.2,22.4,50.2,150.4

17.8,60.9,20.8,61.1,160.6

17.0,68.2,17.5,58.7,161.4

0.3,55.6,1.9,39.6,97.4

-0.0,0.3,0.2,0.0,0.4

0.0,0.1,0.2,0.0,0.3

0.1,0.1,0.1,0.0,0.3

0.1,0.1,0.1,0.0,0.3
