Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,-0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.1,2.0,0.1,2.7,4.9

17.1,55.9,22.6,49.7,145.3

49.3,32.7,50.0,35.7,167.6

42.9,29.5,21.2,51.2,144.8

33.4,29.0,22.7,52.0,137.0

31.2,30.8,20.9,52.8,135.6

31.1,32.4,21.3,51.6,136.3

30.4,33.1,21.2,51.4,136.1

30.0,33.7,21.0,51.7,136.4

30.4,33.6,21.2,50.7,136.0

29.9,33.9,21.3,50.5,135.5

32.1,29.3,21.9,46.8,130.1

37.7,40.2,39.2,48.2,165.4

9.7,61.0,9.0,65.6,145.3

0.3,3.1,1.6,0.1,5.1

0.2,0.2,0.3,0.1,0.8

0.2,0.1,0.2,0.1,0.6

0.2,0.1,0.2,0.1,0.6
