Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,399.0,0.0,399.1

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.1,0.2

0.0,3.3,0.3,6.3,10.0

34.8,35.5,32.6,47.6,150.6

52.4,32.4,45.4,38.1,168.3

45.8,32.6,31.7,48.0,158.2

29.1,22.1,12.7,56.6,120.5

27.8,26.8,14.0,53.1,121.8

26.9,28.7,14.6,51.5,121.8

27.2,27.4,14.3,51.8,120.7

29.5,25.0,16.8,54.9,126.2

30.1,27.3,17.9,55.8,131.1

28.6,27.6,17.1,55.5,128.8

28.5,27.7,17.2,55.5,128.9

28.1,27.8,17.0,55.3,128.2

27.9,27.4,16.7,54.3,126.3

33.3,26.8,21.5,51.8,133.3

38.0,46.5,31.9,57.8,174.2

-0.1,7.3,1.5,0.6,9.2

0.5,0.1,0.1,0.0,0.7

0.5,0.1,0.1,0.0,0.8

