Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,-0.0,0.1

0.0,0.0,0.0,0.0,0.1

-0.0,2.2,0.2,4.3,6.7

27.0,43.5,33.4,47.3,151.2

43.3,40.9,45.1,39.4,168.8

41.7,42.6,44.1,41.7,170.1

41.9,42.1,44.3,41.5,169.8

41.4,42.3,44.2,41.7,169.6

41.6,42.0,44.6,41.2,169.4

40.7,43.2,42.4,44.3,170.6

35.9,51.6,31.7,54.4,173.6

-0.4,9.6,1.5,1.0,11.8

0.1,-0.0,0.1,0.0,0.3

0.1,0.0,0.1,0.0,0.2

0.0,0.0,0.1,0.0,0.2
