Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

-0.0,0.9,0.1,1.0,1.9

14.9,60.6,19.2,54.2,148.8

51.0,30.2,51.2,35.7,168.1

41.6,43.6,41.9,43.9,171.0

39.6,45.2,39.6,46.4,170.8

40.6,44.4,40.4,45.4,170.8

40.5,44.4,40.2,45.5,170.8

40.6,44.3,40.5,45.3,170.6

41.4,42.9,41.7,43.5,169.5

37.4,48.2,34.4,53.4,173.4

3.6,64.1,-1.5,16.3,82.5

0.1,-0.0,0.1,0.1,0.2

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

