Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,-0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

-0.0,0.9,0.1,1.9,2.8

10.5,62.8,24.0,47.8,145.2

38.7,44.1,52.0,34.1,169.0

20.8,56.6,38.8,33.6,149.7

17.6,56.4,31.1,37.8,142.9

17.2,53.0,31.5,34.4,136.2

16.6,52.1,29.7,34.4,132.8

16.3,51.7,29.1,34.1,131.2

16.0,51.6,28.8,34.1,130.5

16.3,51.6,29.2,34.1,131.2

16.0,51.5,28.8,33.6,130.0

26.6,54.0,47.4,35.0,163.0

3.1,79.8,1.4,40.9,125.1

0.4,0.1,0.2,0.1,0.8

0.3,0.0,0.1,0.0,0.5

0.3,0.0,0.1,0.0,0.4

0.3,0.0,0.1,-0.0,0.4

