Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,-0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,-0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,-0.0,-0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.1,2.5,-0.1,2.5,5.0

30.5,44.4,44.3,35.5,154.7

45.8,34.2,59.8,29.9,169.7

47.7,18.6,23.4,47.4,137.1

42.4,41.3,54.7,29.4,167.9

18.7,61.9,60.7,12.8,154.2

38.4,43.7,47.3,45.4,174.8

51.2,20.7,32.5,47.0,151.4

34.5,47.0,57.3,30.3,169.2

20.6,52.5,57.3,27.0,157.5

46.7,26.3,34.6,45.3,152.9

46.2,32.3,54.6,32.0,165.3

22.1,52.7,61.0,20.6,156.4

36.6,40.3,53.2,35.9,166.0

43.0,37.4,52.5,38.2,171.1

12.1,76.1,9.6,68.7,166.4

0.3,2.5,0.3,0.7,3.8

0.2,0.1,0.0,0.1,0.5

0.1,0.1,0.0,0.1,0.3
