Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.1

0.0,0.0,0.0,-0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,-0.0,0.1

0.1,-0.0,0.0,0.5,0.6

0.0,7.9,1.0,18.8,27.7

32.1,47.7,39.5,42.6,162.0

39.7,41.3,55.9,32.1,169.0

51.9,20.7,23.4,54.8,150.8

47.6,34.7,43.5,39.1,164.9

24.8,55.2,63.0,20.3,163.3

41.4,41.8,36.3,50.4,169.9

51.1,27.9,33.9,50.4,163.2

34.1,51.8,58.8,18.4,163.1

28.8,54.6,53.4,30.4,167.3

52.9,23.8,29.9,55.7,162.2

46.1,33.3,42.1,43.5,165.0

27.8,57.6,60.7,15.8,161.9

41.9,36.6,45.0,47.6,171.2

55.9,22.9,38.8,49.2,166.8

30.3,58.0,49.5,32.8,170.6

20.7,67.1,24.2,62.1,174.1

0.1,2.9,0.7,0.9,4.7

0.0,0.1,0.1,0.1,0.3

0.0,0.1,0.1,0.0,0.2

