Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,-0.0,0.0

0.1,0.2,0.2,1.2,1.8

2.6,9.0,1.6,34.5,47.7

62.3,62.3,16.7,4.3,145.7

62.7,68.7,1.5,20.6,153.5

32.6,38.5,1.6,34.8,107.5

30.7,38.3,1.6,36.2,106.8

33.9,43.8,1.6,35.2,114.5

36.1,46.5,1.6,31.7,115.9

37.3,47.7,1.6,32.2,118.7

33.6,43.5,1.6,31.4,110.1

37.5,36.2,1.6,42.4,117.7

0.1,0.4,0.8,0.6,1.8

0.1,0.1,0.3,0.1,0.5

0.1,0.1,0.3,0.1,0.5
