Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.1,0.0,-0.0,0.0,0.2

2.2,3.6,1.4,28.9,36.1

67.4,70.7,13.5,6.4,158.0

66.1,64.1,15.7,6.0,151.9

59.7,60.6,-1.2,28.3,147.4

33.3,38.9,1.5,34.4,108.0

21.2,36.9,1.4,33.9,93.4

25.1,28.0,1.4,31.9,86.4

29.6,31.5,1.4,30.0,92.5

27.6,29.6,1.4,31.6,90.3

29.2,38.3,1.4,34.8,103.8

34.0,38.4,1.4,31.6,105.5

30.8,34.6,1.5,46.9,113.8

0.2,0.3,0.7,0.3,1.5

0.1,0.0,0.3,0.1,0.4

0.1,0.0,0.2,0.0,0.4

0.1,0.0,0.2,0.0,0.3

0.1,-0.0,0.2,0.1,0.3

