Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.1,-0.0,-0.0,0.3,0.4

4.8,8.1,1.5,40.9,55.2

70.7,65.8,11.5,8.6,156.6

73.7,56.5,8.8,13.2,152.1

62.9,37.3,2.4,12.8,115.5

58.6,38.2,1.0,15.8,113.6

55.9,38.1,0.2,17.8,111.9

56.2,38.4,0.5,17.2,112.3

56.4,38.1,0.5,17.1,112.1

55.5,38.4,0.5,17.3,111.7

57.7,37.1,2.1,13.7,110.6

54.9,77.3,3.7,20.4,156.4

1.5,3.0,1.5,19.8,25.7

0.0,0.0,0.2,0.0,0.3
