Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.1,0.0,0.0,-0.0,0.1

3.7,3.5,1.4,38.6,47.2

77.8,61.0,13.3,7.9,159.9

71.4,69.9,10.3,11.9,163.5

66.8,65.3,4.3,15.5,151.8

49.1,53.8,6.4,13.4,122.7

66.7,67.7,8.8,14.3,157.4

65.4,67.9,9.0,14.1,156.4

65.6,67.4,9.2,14.0,156.2

65.6,67.0,9.1,14.1,155.8

65.5,66.9,9.1,14.1,155.7

65.2,66.8,9.2,13.8,155.1

65.8,67.0,10.3,12.6,155.7

65.7,67.4,9.9,12.8,155.8

68.3,70.4,6.7,14.5,159.8

19.9,13.7,1.4,37.8,72.8

0.2,0.1,0.2,0.1,0.6

0.2,0.1,0.1,0.1,0.5
