Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.1,-0.0,-0.0,0.1,0.1

0.2,0.1,0.2,1.0,1.5

3.1,7.1,1.5,46.7,58.4

67.2,69.5,11.5,9.4,157.6

68.6,67.3,12.1,10.2,158.2

67.7,69.6,11.3,11.3,159.9

68.1,68.7,11.4,11.2,159.4

68.0,68.7,11.3,11.2,159.2

68.0,68.5,11.2,11.4,159.1

67.8,68.7,11.0,11.7,159.1

67.5,68.7,11.0,11.6,158.9

67.6,68.8,11.0,11.8,159.1

67.5,68.5,11.1,11.6,158.6

67.4,68.8,10.9,11.8,158.8

67.2,68.9,10.9,11.9,158.9

67.3,69.1,10.4,12.0,158.8

63.6,65.9,0.3,26.1,156.0

0.9,0.7,1.5,10.6,13.7

0.0,0.1,0.3,0.0,0.4

0.0,0.0,0.2,0.0,0.3

