Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.1,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.1,0.1,-0.0,0.0,0.2

0.5,0.7,0.6,2.7,4.5

59.4,50.4,-1.9,18.3,126.2

57.5,79.7,9.9,15.1,162.2

34.2,59.4,-0.1,22.9,116.4

35.4,60.5,0.8,21.2,117.9

34.9,69.1,2.3,19.9,126.1

32.4,66.5,1.4,20.2,120.5

32.9,62.6,0.9,20.8,117.2

33.0,60.2,0.6,21.3,115.1

31.4,58.3,0.1,20.5,110.3

55.9,71.6,3.5,21.5,152.4

6.8,5.7,1.4,31.1,45.0

0.1,0.1,0.3,0.1,0.6

0.0,0.0,0.2,0.0,0.3

0.0,0.0,0.1,0.0,0.2
