Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.1,0.0,0.0,-0.0,0.1

1.1,0.8,1.0,8.1,11.0

14.0,47.0,-3.7,17.4,74.8

62.7,46.7,16.6,4.0,129.9

66.1,58.8,9.3,11.8,146.0

73.0,30.1,6.7,9.8,119.5

65.5,59.8,10.2,12.5,148.1

33.2,91.2,4.7,14.6,143.8

43.9,83.2,7.0,14.5,148.6

78.5,36.7,8.3,10.4,134.0

70.2,49.3,10.6,10.8,141.0

37.9,88.8,7.2,11.3,145.2

51.1,76.3,11.3,11.5,150.2

74.0,52.7,10.1,12.5,149.3

63.0,73.2,9.5,14.3,160.0

6.2,7.6,1.0,20.7,35.6

0.2,0.1,0.3,0.1,0.6

0.2,0.1,0.4,0.0,0.7
