Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,-0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.1,0.0,0.0,0.0,0.1

0.1,0.1,0.1,0.5,0.8

3.1,4.9,1.5,33.6,43.1

61.9,56.6,18.6,2.7,139.8

63.1,66.1,13.9,8.4,151.5

73.3,37.3,5.5,11.0,127.2

68.7,39.8,7.1,10.7,126.3

48.8,87.4,6.0,16.0,158.3

37.1,88.2,7.4,14.3,147.1

77.3,42.8,3.3,15.6,139.0

70.7,35.4,5.8,12.0,123.8

48.0,85.9,6.1,16.8,156.8

44.6,82.0,10.7,11.1,148.4

69.1,59.2,11.0,10.5,149.8

65.9,64.8,10.1,13.1,153.9

18.4,11.6,1.5,20.6,52.1

0.1,0.3,0.1,0.1,0.6

0.1,0.3,0.0,0.0,0.5

0.1,0.3,0.0,0.0,0.4

0.1,0.3,0.0,0.0,0.4

