Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.1,0.0,0.1,0.0,0.2

2.4,3.8,0.5,0.2,6.9

41.5,55.3,25.1,-0.0,121.9

18.3,25.2,31.3,0.1,74.9

24.2,31.3,26.9,0.0,82.5

26.2,31.8,25.5,0.0,83.5

27.1,33.1,26.9,0.0,87.1

26.1,31.1,25.6,0.0,82.8

27.3,35.7,25.6,0.0,88.6

27.2,36.3,25.0,0.0,88.5

27.3,36.2,24.9,0.0,88.4

27.3,36.2,24.9,0.0,88.5

27.2,36.1,25.2,0.0,88.5

19.0,26.0,30.6,0.1,75.6

34.5,41.9,28.9,0.0,105.3

16.9,10.2,1.6,0.2,28.9

0.0,0.1,0.2,0.0,0.3

0.0,0.1,0.1,0.0,0.2
