Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.1,-0.0,0.1,0.0,0.1

5.2,11.0,-0.2,0.8,16.8

24.7,33.4,31.2,0.1,89.3

23.4,33.9,26.1,0.0,83.5

27.1,37.2,26.2,0.0,90.5

26.8,36.4,26.9,0.0,90.1

26.9,34.9,26.8,0.0,88.7

27.1,34.7,26.4,0.0,88.3

27.0,34.4,26.4,0.0,87.8

27.0,34.4,26.3,0.0,87.7

26.7,34.1,26.4,0.0,87.2

25.6,32.6,27.2,0.1,85.4

21.0,26.5,31.9,0.0,79.5

42.1,49.8,25.7,0.0,117.6

32.1,16.9,1.8,0.4,51.2

0.0,0.2,0.3,0.0,0.5

-0.0,0.2,0.3,0.0,0.5

0.0,0.2,0.4,0.0,0.6

0.0,0.2,0.4,0.0,0.6

