Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

2.4,4.5,0.9,0.0,7.8

19.2,22.3,30.3,0.0,71.9

13.3,18.7,29.2,0.0,61.3

31.9,47.7,27.0,0.0,106.6

51.1,63.4,20.9,-0.0,135.3

57.7,54.8,18.5,0.2,131.1

41.5,63.0,20.0,0.1,124.5

45.6,59.5,21.6,-0.0,126.7

48.5,51.2,22.2,0.0,122.0

49.0,64.2,15.4,-0.0,128.5

54.4,65.0,13.3,0.1,132.9

4.9,3.4,1.4,0.2,9.8

0.1,0.5,1.1,0.1,1.7

0.1,0.4,1.0,0.0,1.6
