Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,-0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,0.0,0.0

2.1,3.0,0.8,0.2,6.0

30.0,43.5,29.1,0.0,102.7

18.5,23.3,31.8,0.0,73.6

29.9,30.0,24.3,0.0,84.2

29.1,30.2,25.0,0.0,84.3

28.5,29.3,24.9,0.0,82.8

28.4,28.9,24.6,0.0,82.0

28.5,29.5,24.7,0.0,82.7

28.6,30.1,24.6,0.0,83.3

28.6,30.0,24.3,0.0,83.0

27.7,26.4,25.1,0.0,79.2

23.9,33.9,30.5,0.0,88.3

49.8,35.5,3.8,0.4,89.5

0.2,0.1,0.4,0.1,0.7
