Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

1.9,2.9,1.0,0.3,6.1

37.4,45.6,30.3,0.0,113.4

14.8,27.6,33.1,0.0,75.5

17.8,32.9,31.7,0.0,82.4

18.1,32.7,31.5,0.0,82.3

18.8,33.7,31.1,0.0,83.6

20.3,32.8,30.2,0.0,83.3

17.6,29.9,30.8,0.0,78.4

41.1,64.1,20.6,0.3,126.0

1.6,0.8,0.1,-0.0,2.6

0.1,0.0,0.1,0.1,0.3

0.1,0.0,0.1,0.0,0.2

0.1,0.0,0.1,0.0,0.2
