Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,-0.0,0.0,0.0,0.1

0.0,0.0,-0.0,0.0,0.1

0.1,0.0,0.0,0.0,0.1

0.1,0.0,-0.0,0.0,0.1

0.1,-0.0,-0.0,0.0,0.0

4.0,16.4,-0.4,1.3,21.3

30.1,36.7,34.4,0.0,101.3

13.3,25.2,32.2,0.0,70.8

19.4,31.5,31.2,0.0,82.1

20.9,33.1,30.6,0.0,84.6

20.5,32.9,30.3,0.0,83.6

20.6,32.9,30.1,0.0,83.6

20.6,33.1,30.0,0.0,83.7

20.7,33.4,29.9,0.0,84.0

19.6,31.6,30.5,0.0,81.7

25.4,41.2,30.2,0.0,96.8

35.0,53.0,26.4,0.0,114.3

33.9,36.4,3.8,0.5,74.6

0.2,0.0,-0.0,0.0,0.3

0.1,0.0,0.0,0.0,0.1

