Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.8,1.2,0.6,0.1,2.7

44.4,64.1,19.2,1.5,129.3

19.3,28.0,32.3,0.0,79.7

14.3,36.5,30.6,0.0,81.5

18.1,43.8,23.2,0.0,85.1

22.3,43.8,22.8,0.0,88.9

22.1,43.4,22.8,0.0,88.3

21.9,43.4,22.7,0.0,88.0

22.0,43.6,22.6,0.0,88.3

21.8,43.6,22.5,0.0,88.0

20.9,43.6,21.5,0.0,86.1

18.8,37.8,29.0,0.0,85.5

33.1,43.7,28.0,0.0,104.8

12.8,7.2,0.2,0.1,20.4

0.1,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1
