Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.7,1.0,0.8,0.1,2.5

45.3,59.3,29.2,0.0,133.8

12.2,27.8,31.8,0.0,71.9

15.4,46.4,25.2,0.0,87.0

19.1,44.8,24.7,0.0,88.6

19.5,44.9,25.1,0.0,89.5

19.6,45.0,24.6,0.0,89.2

20.0,44.7,24.1,0.0,88.8

20.2,44.4,23.8,0.0,88.5

20.0,45.2,22.4,0.0,87.7

23.5,37.2,30.4,0.0,91.2

52.4,73.1,8.5,1.1,135.0

0.5,0.1,0.1,0.1,0.8

0.0,0.0,0.0,-0.0,0.1

0.0,0.0,0.1,0.0,0.1

