Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

-0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.1,-0.0,0.0,0.0,0.1

2.7,5.0,0.4,0.2,8.2

26.2,36.2,23.4,-0.0,85.8

14.7,20.2,27.9,0.0,62.9

19.2,27.4,24.7,0.0,71.4

21.2,25.9,25.0,0.0,72.2

29.2,17.1,30.5,0.0,76.9

32.6,17.0,26.7,0.0,76.3

14.4,40.7,21.3,0.0,76.5

13.3,36.6,24.1,0.0,74.0

34.6,16.3,27.8,0.0,78.7

31.4,23.5,27.3,0.0,82.2

8.6,41.6,22.0,0.0,72.2

26.6,28.1,29.2,0.0,84.0

35.0,17.8,26.6,0.0,79.5

22.7,30.3,26.5,0.0,79.5

13.3,11.9,1.0,0.0,26.2

-0.0,0.1,0.1,0.0,0.2

0.0,0.0,0.1,0.0,0.2

0.0,0.0,0.1,0.0,0.2
