Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

-0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,-0.0,0.0

0.0,-0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,-0.0,0.0,0.0,0.0

0.1,0.1,0.1,0.0,0.3

2.1,3.5,0.6,0.1,6.4

31.6,41.1,29.3,-0.0,101.9

16.1,23.3,25.5,0.0,64.8

20.0,23.5,27.6,0.0,71.1

33.3,16.1,24.5,0.0,74.0

13.2,41.3,23.1,0.0,77.6

14.3,33.0,27.2,0.0,74.5

34.7,12.5,28.5,0.0,75.7

24.1,24.9,28.5,0.0,77.6

10.4,38.8,25.4,0.0,74.6

36.2,13.7,27.5,0.0,77.5

23.7,28.5,27.9,0.0,80.1

21.0,28.3,29.1,0.0,78.4

60.4,71.5,-0.7,-0.0,131.3

0.2,0.1,0.1,0.1,0.5

0.0,0.1,0.1,0.0,0.1

0.0,0.1,0.0,0.0,0.1

