Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.2,0.0,0.0,0.1,0.3

-0.2,0.9,0.3,1.7,2.7

3.5,3.6,1.2,16.4,24.7

58.6,60.3,13.6,-0.4,132.0

55.1,64.2,8.8,7.6,135.6

55.2,62.6,7.1,8.5,133.4

54.7,62.4,7.0,8.7,132.8

54.3,62.3,6.8,8.6,132.0

54.0,62.4,6.8,8.8,131.9

54.0,62.8,6.2,10.1,133.1

56.1,64.5,12.3,6.0,139.0

13.3,3.2,1.3,12.7,30.5

0.1,0.2,0.2,0.2,0.7

0.0,0.2,0.1,0.2,0.5

0.0,0.2,0.1,0.1,0.3
