Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,-0.0,0.0,0.0,0.0

0.1,0.0,-0.0,0.0,0.1

0.6,0.5,0.4,2.0,3.5

4.2,2.7,1.3,16.3,24.6

58.8,62.8,13.9,-0.7,134.8

53.5,64.8,5.4,10.4,134.2

53.4,64.0,5.1,11.3,133.7

53.6,63.8,5.7,11.0,134.2

52.9,63.8,5.7,10.7,133.0

52.8,63.1,5.6,10.5,132.0

52.5,62.9,5.9,10.2,131.5

52.4,62.6,5.5,9.7,130.1

61.6,60.2,12.6,3.5,138.0

56.3,51.6,-0.4,39.4,147.0

0.3,0.3,0.7,1.0,2.3

0.1,0.1,0.3,0.4,1.0

0.1,0.1,0.2,0.3,0.8

