Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.1,0.1,0.0,0.1,0.3

0.4,0.4,0.2,1.2,2.2

3.0,10.9,1.2,41.7,56.9

60.1,66.6,15.1,0.9,142.8

50.1,66.2,16.7,-0.6,132.3

52.7,57.0,-0.8,34.2,143.1

27.4,31.9,1.2,46.4,107.0

28.7,35.8,1.2,40.4,106.1

32.5,33.8,1.2,43.9,111.4

32.1,32.2,1.2,48.2,113.7

31.5,33.2,1.1,41.0,106.8

32.5,33.7,1.1,43.7,111.0

32.3,30.3,1.1,43.5,107.2

38.1,47.0,0.9,37.1,123.1

-0.7,-0.6,1.3,18.1,18.0

0.2,0.2,0.2,0.4,1.0

0.2,0.2,0.1,0.3,0.8

0.2,0.2,0.1,0.3,0.8

0.2,0.2,0.0,0.3,0.7
