Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.1,0.1,0.0,0.1,0.3

0.1,0.1,0.0,0.2,0.5

2.9,8.4,1.3,45.6,58.2

64.3,69.0,16.6,-0.6,149.3

59.3,71.3,14.6,3.1,148.3

52.1,55.1,-0.3,31.7,138.6

39.3,42.2,0.9,36.0,118.4

45.9,46.4,0.6,31.7,124.6

44.0,41.2,0.7,35.4,121.3

45.6,46.1,0.8,35.1,127.6

46.6,44.1,0.5,35.3,126.6

41.2,41.0,1.0,35.4,118.6

42.7,45.2,0.7,33.7,122.3

34.4,35.4,1.3,46.0,117.0

0.1,0.0,0.6,0.5,1.2

0.1,0.0,0.2,0.1,0.4

0.1,0.0,0.1,0.0,0.3
