Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,-0.0,0.0,0.0,0.1

0.0,-0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.1,0.0,0.0,0.0,0.1

0.2,0.6,0.3,1.9,3.0

2.2,2.9,1.2,17.4,23.7

61.0,63.9,15.1,0.1,140.1

56.0,59.1,16.3,0.2,131.7

63.5,53.1,6.6,11.0,134.1

58.0,28.5,-0.1,16.7,103.1

57.5,35.4,1.3,15.8,109.9

53.8,35.6,0.8,16.1,106.3

53.5,35.4,0.6,16.2,105.8

53.2,35.9,0.8,15.9,105.8

53.4,36.1,0.9,16.2,106.5

55.3,37.3,1.5,15.7,109.8

54.9,38.9,1.7,15.5,111.1

54.7,38.6,1.6,15.8,110.7

54.7,39.0,1.6,15.8,111.2

54.3,39.7,1.9,15.3,111.2

54.2,40.0,2.0,15.3,111.5

54.2,39.7,1.9,15.3,111.0

54.5,35.9,2.3,11.4,104.1

59.0,71.2,8.6,13.8,152.5

0.5,0.2,0.9,1.6,3.2
