Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.1,0.0,0.0,0.0,0.1

0.1,0.0,0.0,0.0,0.1

0.1,0.0,-0.0,0.1,0.2

0.3,0.1,0.1,0.3,0.9

1.5,2.6,1.4,13.0,18.6

57.3,67.2,16.2,-0.0,140.7

52.3,65.1,15.9,0.7,133.9

59.6,56.4,7.2,11.4,134.5

59.1,32.4,5.3,9.5,106.4

51.5,38.0,-0.1,17.2,106.5

48.8,36.4,0.3,18.1,103.5

51.1,35.9,0.4,17.5,104.8

50.5,36.0,0.2,17.8,104.4

49.7,36.5,0.3,17.5,104.0

51.6,36.9,1.1,15.5,105.1

56.3,56.2,12.2,6.8,131.6

46.3,56.1,1.3,45.4,149.1

-0.0,0.1,0.3,0.2,0.6

0.0,0.0,0.2,0.1,0.3

0.0,0.0,0.1,0.0,0.2

0.0,0.0,0.1,0.0,0.2
