Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.1,0.1

-0.0,0.1,0.0,0.3,0.3

0.8,1.2,0.8,4.5,7.3

51.0,57.2,8.2,9.7,126.1

50.7,67.6,14.3,2.9,135.4

48.0,62.8,15.7,-3.3,123.2

58.0,70.2,10.8,10.2,149.2

57.1,70.5,11.2,9.4,148.2

55.8,71.5,10.7,9.9,147.8

55.8,70.9,10.4,10.4,147.5

56.2,71.7,10.9,10.4,149.3

17.8,12.4,1.5,27.3,59.0

0.1,0.1,0.3,0.3,0.8

0.1,0.1,0.2,0.2,0.6

0.1,0.1,0.1,0.2,0.5

0.1,0.1,0.1,0.1,0.4

0.1,0.1,0.1,0.1,0.3
