Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.1,0.0,0.0,0.1,0.1

-0.0,0.1,0.0,0.1,0.1

0.1,0.0,0.0,-0.1,0.0

2.0,2.5,1.4,19.3,25.3

62.8,62.1,15.3,2.6,142.9

46.7,75.4,16.7,2.6,141.4

36.2,78.4,4.6,11.6,130.9

39.0,73.2,4.8,11.5,128.4

40.1,72.2,4.5,12.4,129.3

39.2,70.2,3.3,12.9,125.6

40.2,69.8,3.4,13.1,126.6

40.2,70.9,4.3,12.6,128.0

38.7,69.9,2.8,13.6,125.0

38.7,69.6,2.9,13.8,125.0

38.6,69.1,2.5,14.4,124.5

38.6,69.0,2.5,14.3,124.5

36.7,69.4,2.5,12.1,120.8

51.7,66.8,5.7,18.4,142.5

1.4,0.1,1.1,2.9,5.4

0.1,0.0,0.2,0.1,0.3

0.0,0.0,0.1,0.0,0.1

0.0,0.0,0.0,0.0,0.1
