Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.1,0.2,0.2,1.9,2.3

54.7,54.3,6.8,14.4,130.2

39.8,68.3,18.8,0.9,127.8

40.4,74.7,5.0,12.9,133.0

41.1,63.7,1.5,16.7,122.9

38.4,61.4,1.2,15.9,116.9

38.5,60.1,1.1,15.2,114.9

38.6,60.6,1.1,15.9,116.1

38.3,60.0,1.3,15.8,115.4

38.2,59.8,1.2,15.7,114.8

38.2,59.8,1.3,15.5,114.9

37.9,61.3,1.4,13.3,113.9

64.4,59.7,11.2,11.5,146.8

31.9,31.6,1.5,44.4,109.4

0.1,0.0,0.3,0.2,0.7

0.0,0.0,0.2,0.1,0.3

