Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.1,0.0,0.0,0.0,0.1

0.9,1.8,1.0,11.2,14.9

62.3,70.8,13.9,-0.2,146.8

52.5,66.3,12.8,0.4,132.0

73.3,51.5,3.1,11.4,139.3

70.1,30.2,1.7,8.5,110.4

56.5,81.4,9.0,6.5,153.3

36.2,88.7,7.1,5.8,137.7

62.8,73.7,9.0,7.4,152.9

74.1,30.6,2.0,9.7,116.4

67.8,46.4,3.2,9.5,126.9

44.7,84.4,7.0,7.6,143.8

36.4,84.5,6.3,6.7,133.9

63.1,70.3,8.7,8.7,150.8

74.0,28.6,1.4,11.1,115.0

69.7,34.4,3.0,8.3,115.3

55.0,76.6,12.6,0.8,145.0

67.6,67.9,5.4,13.2,154.0

-0.2,1.0,0.9,4.3,6.0

0.6,0.6,0.1,0.6,1.9

0.5,0.6,0.1,0.6,1.7

0.5,0.6,0.0,0.5,1.7
