Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.1,0.0,0.0,0.1,0.2

0.5,0.8,0.4,2.5,4.2

8.1,17.5,1.1,35.2,61.9

63.7,71.4,14.8,-0.3,149.6

55.7,69.6,15.0,0.6,140.9

72.0,49.5,6.3,8.4,136.1

68.0,40.7,4.5,7.0,120.1

46.6,88.7,8.9,3.1,147.2

40.5,89.0,8.8,6.1,144.4

73.4,38.5,4.2,9.8,125.9

67.8,45.9,5.0,9.4,128.2

42.5,89.3,8.6,5.5,145.9

34.4,89.1,4.6,8.8,136.8

57.7,76.8,11.3,4.8,150.6

73.3,34.5,4.5,9.3,121.5

68.6,37.4,4.5,9.3,119.8

56.3,73.9,13.5,2.1,145.8

64.3,72.2,5.9,14.9,157.3

0.4,-0.3,1.1,6.2,7.5

0.1,0.1,0.1,0.2,0.4

0.0,0.0,0.1,0.1,0.2

0.0,0.0,0.0,0.1,0.2

