Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,-0.0,0.0,0.0,0.1

0.0,0.0,0.1,0.0,0.1

17.2,33.3,-2.4,-2.0,46.2

24.1,21.9,26.0,23.3,95.2

27.5,30.6,23.1,18.2,99.3

29.7,32.8,22.4,18.1,103.1

29.7,31.8,22.7,18.6,102.8

30.1,31.9,23.0,19.5,104.5

30.7,32.2,22.9,19.3,105.0

31.5,33.1,23.1,19.7,107.5

31.7,32.9,22.5,19.1,106.3

29.4,29.3,24.0,19.2,101.9

34.8,36.5,24.1,19.7,115.1

11.2,10.1,2.8,0.1,24.2

0.0,0.1,0.3,0.0,0.4

0.0,0.0,0.2,0.0,0.3

0.0,0.0,0.1,0.0,0.2

0.0,0.0,0.1,0.0,0.1

0.0,-0.0,0.1,0.0,0.1
