Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.3,0.2,0.1,0.0,0.6

13.8,26.3,3.0,-0.2,42.9

24.1,26.2,27.6,23.4,101.3

17.1,20.7,28.8,21.9,88.5

45.6,54.3,23.0,13.3,136.1

67.8,69.6,17.3,6.9,161.6

51.2,74.3,16.5,7.8,149.9

52.3,65.7,17.7,13.0,148.7

52.3,63.3,17.7,16.9,150.3

58.4,58.5,18.3,17.2,152.5

61.8,56.5,19.2,17.1,154.6

53.0,73.7,17.5,12.2,156.3

63.8,73.6,15.4,9.6,162.4

68.2,78.7,10.3,1.0,158.2

6.8,8.9,3.3,0.2,19.2

1.3,0.5,0.2,0.1,2.1

0.1,0.1,0.2,0.1,0.5

0.3,0.2,0.2,0.1,0.8
