Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

-0.0,-0.0,0.0,0.0,0.0

0.6,0.1,0.2,0.0,0.9

3.3,3.6,0.3,0.1,7.3

17.2,38.6,2.0,-0.6,57.2

20.2,23.3,26.2,25.6,95.4

16.7,20.0,27.0,23.9,87.7

49.5,63.4,18.3,11.3,142.5

69.0,71.6,12.2,5.6,158.3

63.2,73.5,13.4,8.0,158.1

69.3,62.9,10.1,9.1,151.3

69.4,58.2,9.0,8.1,144.7

66.2,61.2,10.4,9.2,146.9

65.4,53.6,11.8,9.5,140.4

61.4,68.7,13.7,8.2,152.0

25.3,19.0,3.6,0.3,48.1

0.1,0.4,1.0,0.2,1.8

0.2,0.4,0.9,0.2,1.7

0.2,0.4,0.9,0.2,1.6

0.2,0.4,0.8,0.2,1.6

0.1,0.4,0.8,0.2,1.5

