Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.7,0.5,0.2,0.0,1.5

10.9,21.4,2.3,0.1,34.7

39.4,33.9,25.2,28.1,126.6

25.8,21.7,24.2,28.3,100.0

41.7,24.4,11.4,20.1,97.6

37.0,27.9,13.0,18.9,96.8

39.3,30.4,13.7,17.9,101.3

41.2,31.1,13.4,18.0,103.7

40.9,31.9,13.0,17.4,103.2

41.1,31.9,13.3,17.8,104.2

40.9,29.1,13.5,18.5,101.9

40.7,29.6,13.5,18.7,102.5

40.8,29.8,13.1,18.2,101.9

36.7,25.6,18.0,22.0,102.2

26.4,28.9,30.6,19.5,105.4

55.0,76.4,9.7,0.4,141.4

0.3,0.3,0.6,0.0,1.2

0.1,0.1,0.2,0.0,0.4

0.1,0.0,0.2,0.0,0.3

