Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.5,0.7,0.2,0.0,1.5

42.5,60.8,21.2,22.8,147.4

21.3,22.3,27.3,24.9,95.7

25.2,28.3,26.8,23.7,103.9

25.8,29.0,26.7,23.3,104.8

26.2,28.5,26.6,23.6,104.9

27.3,29.4,26.4,23.7,106.8

27.1,29.0,26.0,23.7,105.9

27.0,29.1,26.2,23.5,105.8

27.0,29.1,26.2,23.4,105.6

26.8,29.1,26.2,23.3,105.4

27.3,29.7,26.1,23.4,106.5

26.2,27.9,26.8,24.2,105.1

46.1,51.0,20.1,8.6,125.8

1.5,1.6,1.1,0.1,4.2

0.0,0.1,0.2,0.0,0.4

0.0,0.0,0.2,0.0,0.3

0.0,0.0,0.1,0.0,0.2

0.0,0.0,0.1,0.0,0.2
