Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.0

1.0,1.1,0.3,0.0,2.4

49.4,39.5,19.8,25.1,133.8

19.9,21.8,27.7,26.6,96.0

25.6,28.0,27.5,25.0,106.2

26.9,29.0,26.9,24.8,107.6

26.9,29.3,26.9,24.4,107.5

27.1,29.6,26.9,24.3,107.9

27.0,29.5,26.9,24.0,107.5

27.2,29.9,26.8,24.0,107.9

26.6,28.3,27.3,24.3,106.5

35.7,38.6,24.3,20.5,119.2

24.4,21.5,2.8,0.2,48.9

0.1,0.1,0.4,0.1,0.8

0.1,0.1,0.3,0.1,0.5

0.1,0.1,0.2,0.1,0.4

