Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.0

1.1,1.3,0.3,0.1,2.7

50.1,50.0,20.8,23.5,144.5

18.5,21.0,29.3,22.9,91.7

19.8,39.6,35.1,11.8,106.3

26.4,44.4,26.3,10.7,107.8

27.3,42.8,25.4,12.0,107.4

27.4,42.8,25.0,11.8,107.0

27.3,42.7,25.2,11.7,106.9

26.1,43.0,25.9,11.7,106.7

25.7,42.9,27.7,12.1,108.4

22.2,43.7,27.1,12.2,105.2

29.8,30.4,24.8,25.0,110.0

71.3,74.6,2.4,0.1,148.5

0.4,0.5,0.7,0.1,1.7

0.1,0.1,0.4,0.0,0.6

0.1,0.1,0.3,0.0,0.5

0.1,0.1,0.2,0.0,0.4
