Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,0.0,0.1

1.3,2.6,0.2,0.1,4.2

34.1,34.3,27.8,23.0,119.2

16.3,25.1,32.3,18.4,92.2

18.8,50.7,29.7,5.9,105.1

22.6,44.7,26.5,10.9,104.6

22.8,44.8,25.8,10.2,103.5

22.1,44.2,25.6,10.1,102.0

22.2,44.1,25.5,10.1,101.9

22.0,44.0,25.6,9.9,101.4

19.2,40.9,29.1,16.1,105.3

43.4,44.0,18.8,19.0,125.2

5.3,4.9,2.5,0.1,12.8

0.0,0.1,0.4,0.0,0.5

0.0,0.1,0.3,0.0,0.4

0.0,0.1,0.2,0.0,0.3

0.0,0.1,0.2,0.0,0.2

