Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,-0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,-0.0,0.0,-0.0,0.0

0.0,0.1,0.1,0.0,0.3

2.0,1.7,0.2,0.1,4.1

2.1,1.8,-0.5,0.1,3.4

26.1,16.9,26.3,22.3,91.6

22.1,23.5,24.8,18.2,88.6

30.1,25.0,20.4,23.5,99.0

43.3,11.0,9.4,21.1,84.8

28.4,31.0,33.1,15.6,108.1

13.8,36.0,32.4,8.2,90.4

30.6,27.1,19.9,28.7,106.2

43.0,11.7,9.1,25.6,89.3

33.7,23.8,26.4,19.0,102.9

12.8,38.2,32.5,7.3,90.9

27.8,28.2,25.1,22.2,103.2

40.0,10.4,9.6,25.7,85.7

31.4,19.5,26.0,20.8,97.7

40.1,37.2,24.0,15.8,117.0

7.6,8.9,2.9,0.1,19.5

0.2,0.1,0.3,0.0,0.7

0.2,0.1,0.3,0.0,0.7
