Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.1

0.0,0.0,0.0,-0.0,0.1

0.0,0.0,0.0,0.0,0.1

0.1,-0.0,0.0,-0.0,0.1

2.6,1.2,0.0,0.1,3.9

42.8,29.8,22.9,23.4,118.9

17.7,20.8,25.6,20.7,84.7

26.4,22.0,22.3,25.5,96.2

43.8,12.2,10.9,26.2,93.1

28.6,23.1,27.0,19.6,98.2

13.1,44.6,38.1,6.9,102.7

21.4,34.6,30.5,18.4,104.9

46.2,16.0,11.4,33.5,107.1

37.2,18.3,18.5,26.3,100.3

17.0,37.2,36.5,9.5,100.1

28.5,29.1,24.9,21.4,103.9

47.7,46.8,19.9,15.2,129.6

7.5,9.6,3.4,0.2,20.6

0.3,0.4,0.2,0.1,1.0

0.2,0.3,0.2,0.1,0.8

2.5,1.6,0.6,0.0,4.7

-0.4,0.0,0.4,0.1,0.1

